"movil-61", "84:10:d:5d:10:8a", "120101", "-26.83579239,-65.20807203", "26° 50' 8.9" S, 65° 12' 29.1" W", "primera carga"
"movil-61", "84:10:d:5d:10:8a", "032125", "-26.83542764,-65.20819931", "26° 50' 7.5" S, 65° 12' 29.5" W", "segundo dato"
"movil-61", "84:10:d:5d:10:8a", "152172", "-26.83542661,-65.20819988", "26° 50' 7.5" S, 65° 12' 29.5" W", "3ra carga"
