"MOVIL_128", "24:da:9b:54:18:b9", "178639", "0.0,0.0", "n/d", ""
"MOVIL_128", "24:da:9b:54:18:b9", "190230", "-27.444637,-65.625565", "27° 26' 40.7" S, 65° 37' 32.0" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "190392", "-27.43738,-65.618855", "27° 26' 14.6" S, 65° 37' 7.9" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "174728", "-27.415179,-65.611185", "27° 24' 54.6" S, 65° 36' 40.3" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "232260", "-27.382789,-65.606667", "27° 22' 58.0" S, 65° 36' 24.0" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "233510", "-27.378397,-65.580305", "27° 22' 42.2" S, 65° 34' 49.1" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "232010", "-27.348105,-65.57412", "27° 20' 53.2" S, 65° 34' 26.8" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "232432", "-27.352159,-65.584711", "27° 21' 7.8" S, 65° 35' 5.0" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "232130", "0.0,0.0", "n/d", ""
"MOVIL_128", "24:da:9b:54:18:b9", "233542", "-27.34767808,-65.59634242", "27° 20' 51.6" S, 65° 35' 46.8" W", ""
