"MOVIL_128", "24:da:9b:54:18:b9", "196315", "0.0,0.0", "n/d", ""
"MOVIL_128", "24:da:9b:54:18:b9", "186371", "-27.022562,-65.418286", "27° 1' 21.2" S, 65° 25' 5.8" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "230233", "-27.022571,-65.41829", "27° 1' 21.3" S, 65° 25' 5.8" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "232122", "-27.05654,-65.410621", "27° 3' 23.5" S, 65° 24' 38.2" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "230887", "-27.055571,-65.404389", "27° 3' 20.1" S, 65° 24' 15.8" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "183237", "-27.06929,-65.402011", "27° 4' 9.4" S, 65° 24' 7.2" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "235519", "-27.09761,-65.533333", "27° 5' 51.4" S, 65° 31' 60.0" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "235687", "-27.091224,-65.533428", "27° 5' 28.4" S, 65° 32' 0.3" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "235688", "-27.089818,-65.530976", "27° 5' 23.3" S, 65° 31' 51.5" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "165167", "-27.143663,-65.477144", "27° 8' 37.2" S, 65° 28' 37.7" W", ""
